Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kertu,www,postPlay,/browse,/watch/70274154?trackId=14170286&tctx=2%2C0%2Cb6a2afe6-1ca0-4c63-a6af-70d0c02e0bad-122259826%2C259f2e30-dcd1-40ee-a692-5cd2c6fa23a7_12477426X3XX1634764630686%2C%2C,2021-10-20 21:36:32
Kertu,www,playback,/watch/70274154?trackId=14170286&tctx=2%2C0%2Cb6a2afe6-1ca0-4c63-a6af-70d0c02e0bad-122259826%2C259f2e30-dcd1-40ee-a692-5cd2c6fa23a7_12477426X3XX1634764630686%2C%2C,/watch/70274155?trackId=155573560,2021-10-20 21:36:32
Kertu,www,browseTitles,/watch/70202129?trackId=14170286&tctx=1%2C1%2C5573e67d-3d89-43c8-860d-4862cc182da5-14858628%2C1483b1c1-0647-493e-ab4f-36ca79903696_584596X3XX1634728130151%2C%2C,/browse,2021-10-20 21:17:28
Kertu,www,playback,/browse,/watch/70274154?trackId=14170286&tctx=2%2C0%2Cb6a2afe6-1ca0-4c63-a6af-70d0c02e0bad-122259826%2C259f2e30-dcd1-40ee-a692-5cd2c6fa23a7_12477426X3XX1634764630686%2C%2C,2021-10-20 21:17:28
Kertu,www,browseTitles,/watch/70202129?trackId=14170286&tctx=1%2C1%2C5573e67d-3d89-43c8-860d-4862cc182da5-14858628%2C1483b1c1-0647-493e-ab4f-36ca79903696_584596X3XX1634728130151%2C%2C,/browse,2021-10-20 21:17:09
Kertu,www,postPlay,,/watch/70202129?trackId=14170286&tctx=1%2C1%2C5573e67d-3d89-43c8-860d-4862cc182da5-14858628%2C1483b1c1-0647-493e-ab4f-36ca79903696_584596X3XX1634728130151%2C%2C,2021-10-20 21:17:09
Kertu,iOS,browseTitles,,,2021-10-20 17:39:33
Kertu,iOS,browseTitles,,,2021-10-20 17:39:33
Kertu,iOS,playback,,,2021-10-20 17:39:33
Kertu,iOS,profilesGate,,,2021-10-20 17:39:28
Kertu,iOS,browseTitles,,,2021-10-20 17:39:28
Kertu,iOS,profilesGate,,,2021-10-20 17:39:28
Kertu,www,browseTitles,/watch/70274154?trackId=155573560,/browse,2021-10-20 11:10:08
Kertu,www,playback,/browse,/watch/70202129?trackId=14170286&tctx=1%2C1%2C5573e67d-3d89-43c8-860d-4862cc182da5-14858628%2C1483b1c1-0647-493e-ab4f-36ca79903696_584596X3XX1634728130151%2C%2C,2021-10-20 11:10:08
Kertu,www,playback,/watch/70274153?trackId=155573560,/watch/70274154?trackId=155573560,2021-10-20 11:08:49
Kertu,www,browseTitles,/watch/70274154?trackId=155573560,/browse,2021-10-20 11:08:49
Kertu,www,postPlay,/watch/70274152?trackId=155573560,/watch/70274153?trackId=155573560,2021-10-20 11:05:53
Kertu,www,playback,/watch/70274153?trackId=155573560,/watch/70274154?trackId=155573560,2021-10-20 11:05:53
Kertu,www,postPlay,/watch/70274151?trackId=14170286&tctx=1%2C1%2Cddb72ef7-c2fe-4bf2-95ce-dcb2652375fe-109126822%2Ca37ac7b1-e352-4a4e-bfd2-f18dc876c712_38967103X3XX1634724899953%2C%2C,/watch/70274152?trackId=155573560,2021-10-20 10:43:58
Kertu,www,playback,/watch/70274152?trackId=155573560,/watch/70274153?trackId=155573560,2021-10-20 10:43:58
Kertu,www,postPlay,/browse,/watch/70274151?trackId=14170286&tctx=1%2C1%2Cddb72ef7-c2fe-4bf2-95ce-dcb2652375fe-109126822%2Ca37ac7b1-e352-4a4e-bfd2-f18dc876c712_38967103X3XX1634724899953%2C%2C,2021-10-20 10:22:04
Kertu,www,playback,/watch/70274151?trackId=14170286&tctx=1%2C1%2Cddb72ef7-c2fe-4bf2-95ce-dcb2652375fe-109126822%2Ca37ac7b1-e352-4a4e-bfd2-f18dc876c712_38967103X3XX1634724899953%2C%2C,/watch/70274152?trackId=155573560,2021-10-20 10:22:04
Kertu,www,browseTitles,,/browse,2021-10-20 10:15:09
Kertu,www,playback,/browse,/watch/70274151?trackId=14170286&tctx=1%2C1%2Cddb72ef7-c2fe-4bf2-95ce-dcb2652375fe-109126822%2Ca37ac7b1-e352-4a4e-bfd2-f18dc876c712_38967103X3XX1634724899953%2C%2C,2021-10-20 10:15:09
Kertu,www,profilesGate,,/browse,2021-10-20 10:15:00
Kertu,www,browseTitles,,/browse,2021-10-20 10:15:00
Kertu,www,postPlay,,/watch/70083113?trackId=254015180&tctx=0%2C0%2Cf9900be2-7f2a-4cf3-aa9d-385c03254c86-133766714%2C8a5d8df0-9d7a-4b02-8085-f6d5376e8257_7399436X20XX1634670898787%2C8a5d8df0-9d7a-4b02-8085-f6d5376e8257_ROOT%2C,2021-10-20 05:20:38
Kertu,www,playback,/watch/70083113?trackId=254015180&tctx=0%2C0%2Cf9900be2-7f2a-4cf3-aa9d-385c03254c86-133766714%2C8a5d8df0-9d7a-4b02-8085-f6d5376e8257_7399436X20XX1634670898787%2C8a5d8df0-9d7a-4b02-8085-f6d5376e8257_ROOT%2C,/watch/70202129?trackId=250086151,2021-10-20 05:20:38
Kertu,www,browseTitles,/watch/70274151?trackId=155573560,/browse,2021-10-19 19:16:42
Kertu,www,playback,/browse,/watch/70083113?trackId=254015180&tctx=0%2C0%2Cf9900be2-7f2a-4cf3-aa9d-385c03254c86-133766714%2C8a5d8df0-9d7a-4b02-8085-f6d5376e8257_7399436X20XX1634670898787%2C8a5d8df0-9d7a-4b02-8085-f6d5376e8257_ROOT%2C,2021-10-19 19:16:42
Kertu,www,playback,/watch/70274150?trackId=155573560,/watch/70274151?trackId=155573560,2021-10-19 19:14:58
Kertu,www,browseTitles,/watch/70274151?trackId=155573560,/browse,2021-10-19 19:14:58
Kertu,www,postPlay,/watch/70274149?trackId=155573560,/watch/70274150?trackId=155573560,2021-10-19 19:00:13
Kertu,www,playback,/watch/70274150?trackId=155573560,/watch/70274151?trackId=155573560,2021-10-19 19:00:13
Kertu,www,postPlay,/watch/70274148?trackId=155573560,/watch/70274149?trackId=155573560,2021-10-19 18:38:18
Kertu,www,playback,/watch/70274149?trackId=155573560,/watch/70274150?trackId=155573560,2021-10-19 18:38:18
Kertu,www,postPlay,/watch/70274147?trackId=155573560,/watch/70274148?trackId=155573560,2021-10-19 18:16:27
Kertu,www,playback,/watch/70274148?trackId=155573560,/watch/70274149?trackId=155573560,2021-10-19 18:16:27
