Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.35.112,Unknown,2021-03-17T20:37:52.507Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.60.213,Harju,2021-03-17T19:00:59.819Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:750d:d070:8700:eb58,Harju,2021-03-16T19:21:01.390Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:bdf7:463b:2070:ef92,Harju,2021-03-16T17:16:53.113Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:d55c:e4f1:5787:68c6,Harju,2021-03-16T11:02:29.435Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:74e4:6af1:71a4:c2b6,Harju,2021-03-15T20:34:22.758Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:d956:ac0a:dbb3:6aea,Harju,2021-03-15T19:01:59.608Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-03-15T17:53:12.538Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:d9ec:4849:8619:7d6,Harju,2021-03-14T21:05:41.768Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-03-14T20:16:28.858Z
