Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.111.205,Harju,2021-01-26T16:42:22.295Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,195.250.188.19,Harju,2021-01-26T13:29:42.218Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:1cca:fe0a:c04d:570b,Harju,2021-01-25T17:18:34.356Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,88.196.58.139,Harju,2021-01-25T16:52:59.814Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:1cca:fe0a:c04d:570b,Harju,2021-01-25T15:12:46.069Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.111.205,Harju,2021-01-25T11:05:49.322Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:f063:24f8:9345:f2b2,Harju,2021-01-24T20:37:26.380Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:f063:24f8:9345:f2b2,Harju,2021-01-24T14:16:57.551Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:dc43:e73e:2255:8768,Harju,2021-01-24T06:44:55.439Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:840a:a980:404f:265d:2aa:b686,Harju,2021-01-23T19:47:21.777Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:f4ed:6df9:fe4d:effd,Harju,2021-01-23T15:37:31.002Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:b85c:dae0:72b1:4b4c,Harju,2021-01-23T09:01:38.761Z
NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:840a:a980:8c3a:fa7e:9956:a8f6,Harju,2021-01-23T08:11:53.368Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:ed33:c5f1:a428:78d7,Harju,2021-01-22T22:45:10.404Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:8153:3e76:35ac:f94a,Harju,2021-01-22T22:28:35.531Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:840a:a980:9056:de0d:f74f:c008,Harju,2021-01-22T18:50:30.111Z
NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:840a:a980:55f8:6f7e:4ce4:ff6a,Harju,2021-01-22T14:59:38.261Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),195.250.188.19,Harju,2021-01-22T10:31:24.050Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:c5c2:f3a5:8372:8531,Harju,2021-01-21T21:01:13.258Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:75bd:fc7:f927:2898,Harju,2021-01-21T17:01:15.106Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,88.196.58.139,Harju,2021-01-21T15:27:21.876Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:75bd:fc7:f927:2898,Harju,2021-01-21T15:09:26.144Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:840a:a980:5de2:be11:3743:c168,Harju,2021-01-21T10:47:04.815Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:3853:39ef:fbc8:abbd,Harju,2021-01-20T19:59:53.303Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.58.139,Harju,2021-01-20T14:38:48.867Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:840a:a980:acbf:8d8:bf62:e40c,Harju,2021-01-20T13:07:23.596Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.58.139,Harju,2021-01-20T12:46:45.115Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:e1b8:9b61:af82:3384,Harju,2021-01-19T20:48:19.196Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.37.246,Unknown,2021-01-19T15:39:01.539Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:25a6:9b50:94e4:c81b,Harju,2021-01-19T14:01:31.232Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.58.139,Harju,2021-01-18T17:45:15.653Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.58.190,Harju,2021-01-18T13:25:38.092Z
NFCDCH-MC-GR1JC3P1JAUN4KN81YX7A2U9W1YP2N,EE,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2001:7d0:840a:a980:7038:8832:9503:69a2,Harju,2021-01-17T19:58:30.187Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:6441:104e:5d32:56aa,Harju,2021-01-17T18:40:42.243Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:999e:f62b:eb13:be83,Harju,2021-01-17T15:19:09.541Z
NFCDCH-MC-GR1JC3P1JAUN4KN81YX7A2U9W1YP2N,EE,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2001:7d0:840a:a980:7038:8832:9503:69a2,Harju,2021-01-17T09:03:43.601Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:999e:f62b:eb13:be83,Harju,2021-01-17T07:11:30.599Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:840a:a980:4d7:c605:fb4a:ef4c,Harju,2021-01-16T18:30:20.262Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:840a:a980:4597:312b:fe6b:a52c,Harju,2021-01-16T10:12:36.301Z
